"yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","PLAYER_PROFILE_FLAG","slugOrganizationTypeFrom","locationOrganizationFrom","slugTeam","urlPlayerHeadshot"
2018,9,1,9,"Kevin Knox II","Kentucky","College/University",1628995,1610612752,"New York Knicks",1,"COL",NA,"NYK","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628995.png"
2018,10,1,10,"Mikal Bridges","Villanova","College/University",1628969,1610612755,"Philadelphia 76ers",1,"COL",NA,"PHI","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628969.png"
2018,11,1,11,"Shai Gilgeous-Alexander","Kentucky","College/University",1628983,1610612766,"Charlotte Hornets",1,"COL",NA,"CHA","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628983.png"
2018,12,1,12,"Miles Bridges","Michigan State","College/University",1628970,1610612746,"Los Angeles Clippers",1,"COL",NA,"LAC","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628970.png"
2018,13,1,13,"Jerome Robinson","Boston College","College/University",1629010,1610612746,"Los Angeles Clippers",1,"COL",NA,"LAC","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629010.png"
2018,14,1,14,"Michael Porter Jr.","Missouri","College/University",1629008,1610612743,"Denver Nuggets",1,"COL",NA,"DEN","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629008.png"
2018,15,1,15,"Troy Brown Jr.","Oregon","College/University",1628972,1610612764,"Washington Wizards",1,"COL",NA,"WAS","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628972.png"
2018,16,1,16,"Zhaire Smith","Texas Tech","College/University",1629015,1610612756,"Phoenix Suns",1,"COL",NA,"PHX","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629015.png"
2018,17,1,17,"Donte DiVincenzo","Villanova","College/University",1628978,1610612749,"Milwaukee Bucks",1,"COL",NA,"MIL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628978.png"
2018,18,1,18,"Lonnie Walker IV","Miami (FL)","College/University",1629022,1610612759,"San Antonio Spurs",1,"COL",NA,"SAS","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629022.png"
2018,19,1,19,"Kevin Huerter","Maryland","College/University",1628989,1610612737,"Atlanta Hawks",1,"COL",NA,"ATL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628989.png"
2018,20,1,20,"Josh Okogie","Georgia Tech","College/University",1629006,1610612750,"Minnesota Timberwolves",1,"COL",NA,"MIN","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629006.png"
2018,21,1,21,"Grayson Allen","Duke","College/University",1628960,1610612762,"Utah Jazz",1,"COL",NA,"UTA","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png"
2018,22,1,22,"Chandler Hutchison","Boise State","College/University",1628990,1610612741,"Chicago Bulls",1,"COL",NA,"CHI","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628990.png"
2018,23,1,23,"Aaron Holiday","California-Los Angeles","College/University",1628988,1610612754,"Indiana Pacers",1,"COL",NA,"IND","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628988.png"
2018,24,1,24,"Anfernee Simons","IMG Academy","High School",1629014,1610612757,"Portland Trail Blazers",1,"HS",NA,"POR","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629014.png"
2018,25,1,25,"Moritz Wagner","Michigan","College/University",1629021,1610612747,"Los Angeles Lakers",1,"COL",NA,"LAL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629021.png"
2018,26,1,26,"Landry Shamet","Wichita State","College/University",1629013,1610612755,"Philadelphia 76ers",1,"COL",NA,"PHI","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629013.png"
2018,27,1,27,"Robert Williams III","Texas A&M","College/University",1629057,1610612738,"Boston Celtics",1,"COL",NA,"BOS","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629057.png"
2018,28,1,28,"Jacob Evans","Cincinnati","College/University",1628980,1610612744,"Golden State Warriors",1,"COL",NA,"GSW","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628980.png"
2018,29,1,29,"Dzanan Musa","KK Cedevita","Other Team/Club",1629058,1610612751,"Brooklyn Nets",1,"PRO","Croatia","BKN","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629058.png"
2018,30,1,30,"Omari Spellman","Villanova","College/University",1629016,1610612737,"Atlanta Hawks",1,"COL",NA,"ATL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629016.png"
2018,31,2,1,"Elie Okobo","Elan Bearnais Pau-Orthez","Other Team/Club",1629059,1610612756,"Phoenix Suns",1,"PRO","France","PHX","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629059.png"
2018,32,2,2,"Jevon Carter","West Virginia","College/University",1628975,1610612763,"Memphis Grizzlies",1,"COL",NA,"MEM","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628975.png"
2018,33,2,3,"Jalen Brunson","Villanova","College/University",1628973,1610612742,"Dallas Mavericks",1,"COL",NA,"DAL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628973.png"
2018,34,2,4,"Devonte' Graham","Kansas","College/University",1628984,1610612737,"Atlanta Hawks",1,"COL",NA,"ATL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628984.png"
2018,35,2,5,"Melvin Frazier Jr.","Tulane","College/University",1628982,1610612753,"Orlando Magic",1,"COL",NA,"ORL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628982.png"
2018,36,2,6,"Mitchell Robinson",NA,NA,1629011,1610612752,"New York Knicks",1,"UNK",NA,"NYK","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629011.png"
2018,37,2,7,"Gary Trent Jr.","Duke","College/University",1629018,1610612758,"Sacramento Kings",1,"COL",NA,"SAC","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629018.png"
2018,38,2,8,"Khyri Thomas","Creighton","College/University",1629017,1610612755,"Philadelphia 76ers",1,"COL",NA,"PHI","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629017.png"
2018,39,2,9,"Isaac Bonga","Fraport Skyliners","Other Team/Club",1629067,1610612755,"Philadelphia 76ers",1,"PRO","Germany","PHI","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629067.png"
2018,40,2,10,"Rodions Kurucs","FC Barcelona Basquet","Other Team/Club",1629066,1610612751,"Brooklyn Nets",1,"PRO","Spain","BKN","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629066.png"
2018,41,2,11,"Jarred Vanderbilt","Kentucky","College/University",1629020,1610612753,"Orlando Magic",1,"COL",NA,"ORL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629020.png"
2018,42,2,12,"Bruce Brown","Miami (FL)","College/University",1628971,1610612765,"Detroit Pistons",1,"COL",NA,"DET","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png"
2018,43,2,13,"Justin Jackson","Maryland","College/University",1628992,1610612743,"Denver Nuggets",0,"COL",NA,"DEN","RESOURCE/default_player.png"
2018,44,2,14,"Issuf Sanon","KK Olimpija","Other Team/Club",1629068,1610612764,"Washington Wizards",0,"PRO","Slovenia","WAS","RESOURCE/default_player.png"
2018,45,2,15,"Hamidou Diallo","Kentucky","College/University",1628977,1610612751,"Brooklyn Nets",1,"COL",NA,"BKN","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628977.png"
